;title;subtitle;link
52;;;https://www.thesun.co.uk/sport/19438998/coventry-rotherham-postponed-pitch-commonwealth-games-rugby/
53;WELL TONED;Topless Pulis takes summer break away from management in Caribbean with wife;https://www.thesun.co.uk/sport/football/19428781/topless-tony-pulis-wife-caribbean-break-football-management/
54;;;https://www.thesun.co.uk/sport/19331971/cristiano-ronaldo-ripped-physique-cr7-briefs/
55;;;https://www.thesun.co.uk/sport/football/19418053/southampton-graziano-pelle-wife-bikini/
56;HARRY REDKNAPP;Ronaldo won’t be a problem if he stays… he'll still be United's BEST trainer;https://www.thesun.co.uk/sport/19438946/harry-redknapp-column-cristiano-ronaldo-man-utd-transfer/
57;KARREN BRADY;Once delirium of epic Euros win fades the women’s game has serious work to do;https://www.thesun.co.uk/sport/football/19432836/karren-brady-englands-euros-wsl/
58;;;https://www.thesun.co.uk/sport/football/19439197/dean-henderson-cristiano-ronaldo-man-utd/
59;RED CARD;;https://www.thesun.co.uk/sport/19433074/premier-league-away-kits-rip-fans-off/
60;ZERO OUT OF TEN;Fans say same thing as Man Utd release garish kit hours after Brighton loss;https://www.thesun.co.uk/sport/19448133/man-utd-green-third-kit-brighton-defeat/
61;;;https://www.thesun.co.uk/sport/19441305/gillingham-paul-scally-interview/
62;;;https://www.thesun.co.uk/sport/19441085/ian-wright-pink-shirt-alan-sugar-arsenal-kit/
63;;;https://www.thesun.co.uk/sport/19436049/footballer-missed-wedding-sent-brother-in-place-malmo/
64;;;https://www.thesun.co.uk/sport/19427639/alessia-russo-boots-euros-backheel-goal-tower-london/
